CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 4575.1641 413.4190 1433.1840
  1    0      0    1 1:1:1:0          yes 4575.1641 413.4190 3190.9290
  2    0      0    2 2:2:2:0          yes 4575.1641 413.4190 2670.8081
  3    0      0    3 3:3:3:0          yes 4575.1641 413.4190 1433.1840
  4    0      0    4 4:4:4:0          yes 4575.1641 413.4190 1433.1840
  5    0      0    5 5:5:5:0          yes 4575.1641 413.4190 1433.1840
  6    0      0    6 6:6:6:0          yes 4575.1641 413.4190 1433.1840
  7    0      0    7 7:7:7:0          yes 4575.1641 413.4190 1433.1840
  8    0      0    8 8:8:8:1          yes 4575.1641 413.4190 1433.1840
  9    0      0    9 9:9:9:1          yes 4575.1641 413.4190 1433.1840
 10    0      0   10 10:10:10:1       yes 4575.1641 413.4190 2664.5349
 11    0      0   11 11:11:11:1       yes 4575.1641 413.4190 1433.1840
 12    0      0   12 12:12:12:1       yes 4575.1641 413.4190 1433.1840
 13    0      0   13 13:13:13:1       yes 4575.1641 413.4190 1433.1840
 14    0      0   14 14:14:14:1       yes 4575.1641 413.4190 1433.1840
 15    0      0   15 15:15:15:1       yes 4575.1641 413.4190 1433.1840
 16    0      0   16 16:16:16:2       yes 4575.1641 413.4190 1433.1840
 17    0      0   17 17:17:17:2       yes 4575.1641 413.4190 1433.1840
 18    0      0   18 18:18:18:2       yes 4575.1641 413.4190 1433.1840
 19    0      0   19 19:19:19:2       yes 4575.1641 413.4190 1433.1840
 20    0      0   20 20:20:20:2       yes 4575.1641 413.4190 1433.1840
 21    0      0   21 21:21:21:2       yes 4575.1641 413.4190 1433.1840
 22    0      0   22 22:22:22:2       yes 4575.1641 413.4190 1433.1840
 23    0      0   23 23:23:23:2       yes 4575.1641 413.4190 1433.1840
 24    0      0   24 24:24:24:3       yes 4575.1641 413.4190 3192.1819
